(a)_child  וָלָד
(a)_city  עִיר
(a)_dream  חֲלוֹם
(a)_man  אִישׁ
(a)_man  גְּבַר
(a)_plain  בִקְעָה
(a)_vow  נֶדֶר
(an)_Efrati  אֶפְרָתִי
(is)_in=them  בָּ=הֶם
(the)=that  הַ=הוּא
(the)_deep  תְהוֹם
-  ׀
-  ־
.  ׃
[paragraph]  ס
[paragraph]  פ
a_delight  תַֽאֲוָה
ability  כֹּחַ
according_to=his=illusion/resemblance  כְּ=צַלְמ=וֹ
according_to=our=likeness/pattern  כִּ=דְמוּתֵ=נוּ
accounts  תּוֹלְדֹת
accounts  תוֹלְדוֹת
Adah  עָדָה
after  אַחֲרֵי
after  אַחַר
after  אַֽחֲרֵי
again  תִנְיָנוּת
again/more  עוֹד
all  כָל
all  כֹּל
all/each/any/every  כָּל
also/even  גַם
also/extra  אַפָּיִם
also/though  אַף
also/yet  גַּם
am=not  הֲ=לוֹא
Anamim  עֲנָמִים
and=(a)_language  וְ=שָׂפָה
and=(a)_razor  וּ=מוֹרָה
and=(a)_reward  וּ=נְבִזְבָּה
and=(a)_tower  וּ=מִגְדָּל
and=(the)_tongue  וּ=לְשׁוֹן
and=(wild)_animal_of  וְ=חַֽיְתוֹ
and=Admah  וְ=אַדְמָה
and=after  וְ=אַחֲרֵי
and=after  וְ=אַחַר
and=Akkad  וְ=אַכַּד
and=all  וְ=כָל
and=all/each/any/every  וְ=כֹל
and=also  וְ=גַם
and=Amorah  וַ=עֲמֹרָה
and=another  וְ=אָחֳרָן
and=appearance  וּ=מַרְאֵה
and=appointing/standing_up/setting_up  וּ=מְהָקֵים
and=Arpakshad  וְ=אַרְפַּכְשַׁד
and=as=which  וְ=כַ=אֲשֶׁר
and=Asher  וְ=אָשֵׁר
and=astrologer  וְ=אָשַׁף
and=Avram  וְ=אַבְרָם
and=Azaryah  וַ=עֲזַרְיָה
and=bad/evil  וָ=רָע
and=be  וֶ=הְיֵה
and=because/when  וְ=כִי
and=behold/lo/see!  וְ=הִנֵּה
and=being_deceitfull  וּ=שְׁחִיתָה
and=Benyamin  וּ=בְנְיָמִן
and=between  וּ=בֵין
and=between  וַֽ=יְהִי
and=bird  וְ=עוֹף
and=child/boy/young_man  וְ=יֶלֶד
and=compassion  וְ=רַחֲמִין
and=creeping  וָ=רֶמֶשׂ
and=Daniyyel  וְ=דָנִיֵּאל
and=darkness  וְ=חֹשֶׁךְ
and=daughters  וּ=בָנוֹת
and=Dedan  וּ=דְדָן
and=despises=you(ms)  וּ=מְקַלֶּלְ=ךָ
and=discretion  וּ=טְעֵם
and=Dodanim  וְ=דֹדָנִים
and=DOM  וְ=אֶת
and=DOM  וְ=אֵת
and=dreams  וַ=חֲלֹמוֹת
and=dust  וְ=עָפָר
and=eight  וּ=שְׁמֹנֶה
and=eighty  וּ=שְׁמֹנִים
and=eighty  וּ=שְׁמוֹנִים
and=Eli  וְ=עֵלִי
and=emptiness  וָ=בֹהוּ
and=Erech  וְ=אֶרֶךְ
and=fat  וּ=בְרִיאֵי
and=father_of  וַ=אֲבִי
and=female  וּ=נְקֵבָה
and=fill  וּ=מִלְאוּ
and=five  וַ=חֲמֵשׁ
and=flesh/body  וּ=בָשָׂר
and=for=what?  וְ=לָ=מָּה
and=four  וְ=אַרְבַּע
and=from  וּ=מִן
and=from=(the)_seed  וּ=מִ=זֶּרַע
and=from=(the)_sum  וּ=מִ=קְצָת
and=from=(the)_wine  וּ=מִ=יֵּין
and=from=all  וּ=מִ=כֹּל
and=from=fruit  וּ=מִ=פְּרִי
and=from=household  וּ=מִ=בֵּית
and=from=their=end  וּ=מִ=קְצָתָ=ם
and=from=their=fat/best  וּ=מֵ=חֶלְבֵ=הֶן
and=from=there  וּ=מִ=שָּׁם
and=from=tree  וּ=מֵ=עֵץ
and=from=worry/pain  וּ=מֵ=עִצְּבוֹן
and=from=your(ms)=descendants  וּ=מִ=מּוֹלַדְתְּ=ךָ
and=from=your(ms)=face/front  וּ=מִ=פָּנֶי=ךָ
and=giving  וְ=נֹתֵן
and=glory/honor  וִ=יקָר
and=gold_of  וּ=זֲהַב
and=good  וְ=טוֹב
and=good_of  וְ=טוֹבֵי
and=Hannah  וְ=חַנָּה
and=Haran  וְ=הָרָן
and=Havilah  וַ=חֲוִילָה
and=having_insight  וּ=מַשְׂכִּילִים
and=he  וְ=הוּא
and=he/it_ascended  וַ=יַּעַל
and=he/it_ate  וַ=יֹּאכַֽל
and=he/it_died  וַ=יָּמֹת
and=he/it_formed  וַ=יִּיצֶר
and=he/it_killed=him/it  וַ=יַּהַרְגֵ=הוּ
and=he/it_put=him/it  וַ=יַּנִּחֵ=הוּ
and=he/it_rose_up  וַ=יָּקָם
and=he/it_was  וַ=יְהִי
