nameEnglish	marker	compulsory	level	highestNumberSuffix	nests	hasContent	printed	closed	occursIn	deprecated	description
File identification	id	Yes	Newline	None	No	Always	No	No	Header	No	This is the initial USFM marker in any scripture text file.
USFM version specification	usfm	Yes	Newline	None	No	Always	No	No	Header	No	Used to identify the USFM version which a USFM editor / processor will be required to support in order to manage all markup found within the file.
An optional character encoding specification	ide	No	Newline	None	No	Always	No	No	Header	No	This marker should be used to specify the character encoding of the text within the file. For example: CP-1252, CP-1251, UTF-8, UTF-16, OR Custom <specify font name>. If the character encoding does not conform to a known standard, but is rather a customized solution for the project, a minimum of the name of the font used for the project should be included. For archive purposes, texts which rely upon a custom encoding solution should be converted to Unicode, if at all possible.
Project status tracking	sts	No	Newline	None	No	Always	No	No	Header	No	The contents of the status marker can be defined by the downstream system being used to track project status.
Remark/Comment	rem	No	Newline	None	No	Always	No	No	Header	No	Used for adding brief comments by a translator, consultant, or support person.
Running header text	h	Yes	Newline	None	No	Always	Yes	No	Header	No	
Long table of contents text	toc1	No	Newline	None	No	Always	Yes	No	Header	No	Not for use directly within the front matter (FRT) peripheral file.
Short table of contents text	toc2	No	Newline	None	No	Always	Yes	No	Header	No	Not for use directly within the front matter (FRT) peripheral file.
Book abbreviation	toc3	No	Newline	None	No	Always	Yes	No	Header	No	Commonly used for books names in a list of cross-reference.
Psalm singular name	toc4	No	Newline	None	No	Always	Yes	No	Header	No	Not in USFM 2.4 but rather an addition used by Michael Kahunapule Johnson (Haiola/USFX).
Alternative language long table of contents text	toca1	No	Newline	None	No	Always	Yes	No	Header	No	Used to specify an alternate set of table of contents texts (for example, in a language of wider communication).
Alternative language short table of contents text	toca2	No	Newline	None	No	Always	Yes	No	Header	No	Used to specify an alternate set of table of contents texts (for example, in a language of wider communication).
Alternative language book abbreviation	toca3	No	Newline	None	No	Always	Yes	No	Header	No	Used to specify an alternate set of table of contents texts (for example, in a language of wider communication).
Introduction main title	imt	No	Newline	4	No	Always	Yes	No	Introduction	No	May be used for the introduction title or other major introduction division (rather than \is) when the introduction text contains numerous additional sub-divisions.
Introduction section heading	is	No	Newline	4	No	Always	Yes	No	Introduction	No	
Introduction paragraph	ip	No	Newline	None	No	Always	Yes	No	Introduction	No	
Indented introduction paragraph	ipi	No	Newline	None	No	Always	Yes	No	Introduction	No	
Introduction flush left (margin) paragraph	im	No	Newline	None	No	Always	Yes	No	Introduction	No	
Introduction flush left (margin) indented paragraph	imi	No	Newline	None	No	Always	Yes	No	Introduction	No	
Introduction quote from text paragraph	ipq	No	Newline	None	No	Always	Yes	No	Introduction	No	
Introduction flush left (margin) quote from text paragraph	imq	No	Newline	None	No	Always	Yes	No	Introduction	No	
Introduction right-aligned paragraph	ipr	No	Newline	None	No	Always	Yes	No	Introduction	No	Typically used for a quote from text reference.
Introduction poetic line	iq	No	Newline	4	No	Always	Yes	No	Introduction	No	
Introduction blank line	ib	No	Newline	None	No	Never	Yes	No	Introduction	No	May be used to explicitly indicate additional white space between paragraphs.
Introduction list item	ili	No	Newline	4	No	Always	Yes	No	Introduction	No	
Introduction outline title	iot	No	Newline	None	No	Always	Yes	No	Introduction	No	
Introduction outline entry	io	No	Newline	4	No	Always	Yes	No	Introduction	No	The outline entry typically ends with a range of references in parentheses.
Introduction outline reference range	ior	No	Internal	None	No	Always	Yes	Always	Introduction	No	An outline entry typically ends with a range of references in parentheses. This is an optional character style for marking (and potentially formatting) these references separately.
Introduction explanatory or bridge text	iex	No	Newline	None	No	Always	Yes	No	Introduction	No	e.g. explanation of missing book in a short Old Testament.
Introduction quoted text	iqt	No	Internal	None	No	Always	Yes	Always	Introduction	No	Scripture quotations, or other quoted text, appearing in the introduction.
